,brand,model,price,province,matriculation,fuel,kilometres,gear
1236,TOYOTA,Auris Touring Sports hybrid 140H Active,15300,Madrid,2017, Híbrido,56741,Automático
1237,TOYOTA,Prius Plug-In 125PH Advance,28490,Sevilla,2021, Híbrido,4,Automático
1238,RENAULT,Zoe Intens 50 R135 100kW,23500,Barcelona,2020, Eléctrico,18883,Automático
1239,SEAT,Ibiza 1.0 TSI 81 KW (110 CV) 6 VEL START/STOP STYLE GO2,15300,Murcia,2021, Gasolina,11971,Manual
1240,CITROEN,C4 Spacetourer 1.5BlueHDI S&S Shine 130,13990,Pontevedra,2018, Diésel,128329,Manual
1241,OPEL,Corsa Corsa-e Edition-e,22900,Vizcaya,2020, Eléctrico,60,Automático
1242,VOLKSWAGEN,Passat  2.0TDI EVO Executive DSG7 110kW,24400,Málaga,2019, Diésel,83575,Automático
1243,LEXUS,RX 450h Executive Tecno,37890,Palencia,2016, Híbrido,162948,Automático
1244,CUPRA,León st 1.4 TSI E-HYBRID 245 DSG,33580,Barcelona,2020, Híbrido,6273,Automático
1245,MAZDA,CX-30 2.0 Skyactiv-X Zenith White Safety 2WD Aut 132kW,33725,Madrid,2020, Gasolina,8488,Automático
1246,BMW,X4 xDrive 30dA,50474,Barcelona,2018, Diésel,35369,Automático
1247,MERCEDES-BENZ,Clase E Coupé 220d 9G-Tronic,41300,Murcia,2017, Diésel,90357,Automático
1248,PEUGEOT,308 SW 1.6 BlueHDi Business Line 100,10990,Pontevedra,2017, Diésel,126798,Manual
1249,MERCEDES-BENZ,Clase C Estate Familiar  Automático de 5 Puertas,33900,Segovia,2018, Diésel,5000,Automático
1250,LAND-ROVER,Defender 110 2.0D SD4 First Edition AWD Aut. 240,83500,Madrid,2020, Diésel,9348,Automático
1251,VOLKSWAGEN,Tiguan Advance 2.0 TDI 140 CV BlueMotion Technology 4x2,10999,Alicante,2012, Diésel,245782,Manual
1252,HYUNDAI,Kona 1.6 GDI HEV Maxx DCT,19900,Madrid,2021, Híbrido,25557,Automático
1253,TOYOTA,Yaris 100H 1.5 Active,14870,Madrid,2019, Híbrido,29306,Automático
